field_name	feature_type	encoding_rule	missing_like_fraction	missingness_action	reason	manual_review_needed
age_at_diagnosis	numeric_continuous	passthrough_numeric	0.000000	keep_as_is_for_now	No missing-like values were observed in the saved baseline feature-set v1 source field.	false
ajcc_metastasis_pathologic_pm	nominal_categorical	one_hot_encode	0.000000	keep_as_is_for_now	No missing-like values were observed in the saved baseline feature-set v1 source field.	true
ajcc_nodes_pathologic_pn	nominal_categorical	one_hot_encode	0.000000	keep_as_is_for_now	No missing-like values were observed in the saved baseline feature-set v1 source field.	true
ajcc_pathologic_tumor_stage	nominal_categorical	one_hot_encode	0.010027	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	true
ajcc_staging_edition	nominal_categorical	one_hot_encode	0.128532	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	true
ajcc_tumor_pathologic_pt	nominal_categorical	one_hot_encode	0.000000	keep_as_is_for_now	No missing-like values were observed in the saved baseline feature-set v1 source field.	true
anatomic_neoplasm_subdivision	nominal_categorical	one_hot_encode	0.000000	keep_as_is_for_now	No missing-like values were observed in the saved baseline feature-set v1 source field.	true
axillary_staging_method	nominal_categorical	one_hot_encode	0.196901	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
birth_days_to	numeric_continuous	passthrough_numeric	0.013674	eligible_for_simple_imputation_later	Numeric source field has missing-like values; v1 leaves blanks in the matrix and documents later simple imputation as a possible downstream step.	false
er_status_by_ihc	nominal_categorical	one_hot_encode	0.044667	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
ethnicity	binary	one_hot_encode	0.158614	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
gender	binary	one_hot_encode	0.000000	keep_as_is_for_now	No missing-like values were observed in the saved baseline feature-set v1 source field.	false
her2_status_by_ihc	nominal_categorical	one_hot_encode	0.162261	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
histological_type	nominal_categorical	one_hot_encode	0.000912	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
history_other_malignancy	binary	binary_map_required	0.000912	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
icd_o_3_histology	nominal_categorical	one_hot_encode	0.000000	keep_as_is_for_now	No missing-like values were observed in the saved baseline feature-set v1 source field.	true
initial_pathologic_dx_year	numeric_continuous	passthrough_numeric	0.001823	eligible_for_simple_imputation_later	Numeric source field has missing-like values; v1 leaves blanks in the matrix and documents later simple imputation as a possible downstream step.	false
lymph_nodes_examined_count	numeric_count	passthrough_numeric	0.114859	eligible_for_simple_imputation_later	Numeric source field has missing-like values; v1 leaves blanks in the matrix and documents later simple imputation as a possible downstream step.	false
lymph_nodes_examined_he_count	numeric_count	passthrough_numeric	0.153145	eligible_for_simple_imputation_later	Numeric source field has missing-like values; v1 leaves blanks in the matrix and documents later simple imputation as a possible downstream step.	false
margin_status	nominal_categorical	one_hot_encode	0.061987	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
menopause_status	nominal_categorical	one_hot_encode	0.082042	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
method_initial_path_dx	nominal_categorical	one_hot_encode	0.089335	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
pr_status_by_ihc	nominal_categorical	one_hot_encode	0.045579	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
race	nominal_categorical	one_hot_encode	0.086600	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
surgical_procedure_first	nominal_categorical	one_hot_encode	0.050137	allow_missing_category	Categorical source field has missing-like values; v1 adds a dedicated __missing indicator while preserving exact-category encoding.	false
