source_field_name	source_value	output_field_name	output_value	encoding_rule	reversible	manual_review_needed	notes
age_at_diagnosis	[numeric_passthrough]	age_at_diagnosis	[same_as_source_value]	passthrough_numeric	true	false	Numeric passthrough only; no imputation or rescaling is applied in v1.
ajcc_metastasis_pathologic_pm	M0	ajcc_metastasis_pathologic_pm__m0	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_metastasis_pathologic_pm	M1	ajcc_metastasis_pathologic_pm__m1	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_metastasis_pathologic_pm	MX	ajcc_metastasis_pathologic_pm__mx	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_metastasis_pathologic_pm	cM0 (i+)	ajcc_metastasis_pathologic_pm__cm0_i	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N0	ajcc_nodes_pathologic_pn__n0	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N0 (i+)	ajcc_nodes_pathologic_pn__n0_i	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N0 (i-)	ajcc_nodes_pathologic_pn__n0_i__dup2	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N0 (mol+)	ajcc_nodes_pathologic_pn__n0_mol	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N1	ajcc_nodes_pathologic_pn__n1	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N1a	ajcc_nodes_pathologic_pn__n1a	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N1b	ajcc_nodes_pathologic_pn__n1b	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N1c	ajcc_nodes_pathologic_pn__n1c	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
ajcc_nodes_pathologic_pn	N1mi	ajcc_nodes_pathologic_pn__n1mi	1	one_hot_encode	true	true	Exact raw source category activates this one-hot output column.
