blueprint_run_id	ambiguity_id	ambiguity_category	source_layer	table_name	field_name_or_step	severity	why_unresolved	current_saved_evidence	proposed_blueprint_handling	blocks_final_cohort_construction	notes_placeholder
20260413T081835Z	A01	endpoint_overlap_patient_vs_followup	endpoint	clinical_patient | clinical_follow_up_v4_0	vital_status	high	The same endpoint-like field exists in both patient and follow-up tables and should not be treated as automatically equivalent.	clinical_patient.vital_status has 1097 non-missing rows; clinical_follow_up_v4_0.vital_status has 706.	Carry both rows as endpoint join-preparation fields and require later reconciliation before endpoint freeze.	True	[fill in during cohort blueprint review]
20260413T081835Z	A02	endpoint_overlap_patient_vs_followup	endpoint	clinical_patient | clinical_follow_up_v4_0	last_contact_days_to	high	Patient and follow-up tables both carry last-contact timing, but their later use still needs explicit reconciliation.	clinical_patient.last_contact_days_to has 993 non-missing rows; clinical_follow_up_v4_0.last_contact_days_to has 654.	Keep both rows optional and endpoint-preparatory only; do not choose one as the final censoring source here.	True	[fill in during cohort blueprint review]
20260413T081835Z	A03	endpoint_overlap_patient_vs_followup	endpoint	clinical_patient | clinical_follow_up_v4_0	tumor_status	high	Tumor-status signals overlap across patient and follow-up tables and may reflect related but not guaranteed identical source semantics.	clinical_patient.tumor_status has 972 non-missing rows; clinical_follow_up_v4_0.tumor_status has 677.	Preserve both rows for later endpoint review and keep them out of any frozen progression definition.	True	[fill in during cohort blueprint review]
20260413T081835Z	A04	endpoint_overlap_patient_vs_followup	endpoint	clinical_patient | clinical_follow_up_v4_0	new_tumor_event_dx_indicator	high	New-tumor-event indicators overlap across patient and follow-up, but their relative timing and preferred later use remain unsettled.	clinical_patient.new_tumor_event_dx_indicator has 195 non-missing rows; clinical_follow_up_v4_0.new_tumor_event_dx_indicator has 647.	Keep both rows as later endpoint-reconciliation targets rather than automatic event indicators.	True	[fill in during cohort blueprint review]
20260413T081835Z	A05	sparse_endpoint_timing	endpoint	clinical_patient | clinical_follow_up_v4_0	death_days_to	high	Death timing exists in both tables but remains too sparse to promote directly into a finalized endpoint workflow here.	clinical_patient.death_days_to has 104 non-missing rows; clinical_follow_up_v4_0.death_days_to has 52.	Record death timing as deferred endpoint evidence only and revisit it during endpoint freeze.	True	[fill in during cohort blueprint review]
20260413T081835Z	A06	all_missing_progression_timing	endpoint	clinical_patient	days_to_patient_progression_free | days_to_tumor_progression	high	Progression timing fields were surfaced only as ambiguous candidates and remain unusable from the saved audit outputs.	Both progression timing fields have 0 non-missing rows in the saved endpoint crosswalk.	Keep both fields deferred and exclude them from any automatic first-baseline endpoint preparation.	True	[fill in during cohort blueprint review]
20260413T081835Z	A07	clinical_vs_biospecimen_patient_identifiers	clinical | biospecimen	clinical_patient | biospecimen_sample | biospecimen_diagnostic_slides	bcr_patient_barcode | bcr_patient_uuid	high	Clinical and biospecimen layers expose both patient barcodes and UUIDs, but the blueprint should not assume a single harmonized patient identifier without later reconciliation.	clinical_patient has 1097 non-missing values for both patient identifiers; biospecimen_sample.bcr_patient_uuid shows 1101 distinct patients; biospecimen_diagnostic_slides.bcr_patient_barcode is present in 1142 rows.	Use both identifier forms as evidence-bearing join keys now and leave final harmonization rules for later cohort construction.	True	[fill in during cohort blueprint review]
20260413T081835Z	A08	case_count_mismatch	clinical | source | biospecimen	clinical_patient | source_metadata | biospecimen_sample	case coverage counts	high	The saved clinical, source-acquisition, and biospecimen layers do not expose the exact same patient-count signal, so final cohort construction still needs explicit reconciliation logic.	clinical_patient row count is 1097; clinical source unique case coverage is 1098; biospecimen_sample patient UUID distinct count is 1101.	Flag cross-layer case counts as a blocking reconciliation task before any final cohort table is frozen.	True	[fill in during cohort blueprint review]
20260413T081835Z	A09	treatment_table_multiplicity	clinical	clinical_drug | clinical_radiation	patient-linked treatment rows	medium	Treatment tables are one-to-many and include optional proxy signals, so later aggregation rules still need explicit design choices.	clinical_drug has 2406 rows over 780 distinct patients; clinical_radiation has 618 rows over 528 distinct patients.	Keep treatment fields optional and proxy-only until later cohort construction defines aggregation or prioritization rules.	False	[fill in during cohort blueprint review]
20260413T081835Z	A10	missing_direct_child_link	biospecimen	biospecimen_analyte | biospecimen_slide	analyte -> slide	medium	The saved biospecimen crosswalk does not expose a direct analyte identifier in the slide table.	biospecimen_slide retains sample barcode and slide ids, while analyte ids appear only in biospecimen_analyte and protocol side links.	Keep analyte-to-slide deferred and use sample-level or side-table evidence only during later expansion review.	False	[fill in during cohort blueprint review]
20260413T081835Z	A11	missing_direct_child_link	biospecimen	biospecimen_analyte | biospecimen_aliquot	analyte -> aliquot	medium	The saved biospecimen crosswalk does not expose a direct analyte identifier in the aliquot table.	biospecimen_aliquot carries sample barcode and aliquot identifiers only; analyte identifiers remain upstream.	Keep analyte-to-aliquot deferred and revisit it only during later child-layer expansion.	False	[fill in during cohort blueprint review]
