cohort_v1_build_id	exclusion_category	scope_level	source_table	entity_id	entity_value	reason	count_value	details
20260413T202134Z	deferred_endpoint_field	field	clinical_follow_up_v4_0	field_name	death_days_to	Deferred from the minimal cohort v1 build and kept out of endpoint freeze logic.	1	proposed_role=deferred_endpoint_candidate; rationale=Defer endpoint candidates that remain sparse or unresolved until later endpoint review rather than using them automatically in first-baseline construction.; crosswalk_role=ambiguous_candidate; non_missing_count=52
20260413T202134Z	deferred_endpoint_field	field	clinical_patient	field_name	days_to_patient_progression_free	Deferred from the minimal cohort v1 build and kept out of endpoint freeze logic.	1	proposed_role=deferred_endpoint_candidate; rationale=Defer endpoint candidates that remain sparse or unresolved until later endpoint review rather than using them automatically in first-baseline construction.; crosswalk_role=ambiguous_candidate; non_missing_count=0
20260413T202134Z	deferred_endpoint_field	field	clinical_patient	field_name	days_to_tumor_progression	Deferred from the minimal cohort v1 build and kept out of endpoint freeze logic.	1	proposed_role=deferred_endpoint_candidate; rationale=Defer endpoint candidates that remain sparse or unresolved until later endpoint review rather than using them automatically in first-baseline construction.; crosswalk_role=ambiguous_candidate; non_missing_count=0
20260413T202134Z	deferred_endpoint_field	field	clinical_patient	field_name	death_days_to	Deferred from the minimal cohort v1 build and kept out of endpoint freeze logic.	1	proposed_role=deferred_endpoint_candidate; rationale=Defer endpoint candidates that remain sparse or unresolved until later endpoint review rather than using them automatically in first-baseline construction.; crosswalk_role=ambiguous_candidate; non_missing_count=104
20260413T202134Z	ambiguity_resolution_action_applied	workflow_rule	death_days_to and progression timing candidates	action_id	AR04	Documented cohort v1 containment action applied.	1	Exclude sparse death and progression timing fields from a minimal build and keep them only as deferred endpoint-review evidence.
20260413T202134Z	ambiguity_resolution_action_applied	workflow_rule	clinical_drug + clinical_radiation treatment detail	action_id	AR05	Documented cohort v1 containment action applied.	1	Exclude one-to-many treatment-detail fields from a minimal build and keep treatment as optional proxy-only evidence until later aggregation design.
20260413T202134Z	ambiguity_resolution_action_applied	workflow_rule	analyte -> slide and analyte -> aliquot expansion	action_id	AR06	Documented cohort v1 containment action applied.	1	Keep analyte-to-slide and analyte-to-aliquot expansion out of the minimal build and revisit only if later child-layer work becomes in-scope.
20260413T202134Z	excluded_treatment_detail_table	table	clinical_drug	table_name	clinical_drug	One-to-many treatment-detail rows are excluded from the minimal patient-level row build.	2406	clinical_drug has 2406 rows over 780 distinct patients; clinical_radiation has 618 rows over 528 distinct patients.
20260413T202134Z	excluded_treatment_detail_table	table	clinical_radiation	table_name	clinical_radiation	One-to-many treatment-detail rows are excluded from the minimal patient-level row build.	618	clinical_drug has 2406 rows over 780 distinct patients; clinical_radiation has 618 rows over 528 distinct patients.
20260413T202134Z	excluded_child_biospecimen_table	table	biospecimen_portion	table_name	biospecimen_portion	The minimal cohort v1 stays at patient/case level and keeps biospecimen only through the sample anchor.	2310	Child-layer or side-layer biospecimen table excluded from the row set.
