baseline_feature_set_v1_run_id	summary_section	summary_metric	summary_value	notes
20260414T004822Z	design	baseline_feature_set_v1_status	baseline_feature_set_v1_complete	This workflow builds a first clean baseline feature-set table only; it does not perform modeling.
20260414T004822Z	design	feature_source_table	baseline_analysis_v1	The feature-set starts only from the saved baseline_analysis_v1 TSV on disk.
20260414T004822Z	design	feature_selection_scope	baseline_clinical_fields_only	Endpoint, follow-up evidence, biospecimen evidence, audit fields, and derived flags are kept out.
20260414T004822Z	design	unit_of_analysis	patient/case	The feature-set preserves one row per patient/case from baseline_analysis_v1.
20260414T004822Z	design	review_field_decision_policy	"{""ethnicity"": ""include_in_feature_set_v1"", ""gender"": ""include_in_feature_set_v1"", ""icd_10"": ""exclude_from_feature_set_v1"", ""icd_o_3_site"": ""exclude_from_feature_set_v1""}"	Only the four approved review-needed baseline clinical fields receive fixed include/exclude decisions.
20260414T004822Z	design	endpoint_policy	excluded_not_frozen	Endpoint candidates remain blocked and are not part of baseline feature-set v1.
20260414T004822Z	design	treatment_policy	excluded	Treatment detail remains excluded from this feature-set workflow.
20260414T004822Z	inputs	baseline_analysis_v1_run_id	20260413T213900Z	Baseline-analysis-prep run used as the patient-level source table.
20260414T004822Z	inputs	baseline_profile_v1_run_id	20260414T000119Z	Baseline-profile run used as the saved field-selection evidence layer.
20260414T004822Z	inputs	cohort_v1_build_id	20260413T202134Z	Source minimal cohort v1 build carried forward through baseline_analysis_v1.
20260414T004822Z	inputs	ambiguity_resolution_run_id	20260413T085636Z	Current ambiguity-resolution run aligned to the saved baseline inputs.
20260414T004822Z	inputs	shortlist_run_id	20260412T033602Z	Current clinical shortlist run aligned to the saved baseline inputs.
20260414T004822Z	row_counts	input_baseline_analysis_v1_row_count	1097	Row count read directly from baseline_analysis_v1.tsv.
20260414T004822Z	row_counts	final_row_count	1097	Final patient-level row count represented in baseline feature-set v1.
20260414T004822Z	field_selection	included_feature_count	25	Total number of retained baseline clinical fields included in feature-set v1.
20260414T004822Z	field_selection	auto_included_feature_count	23	Included fields auto-selected from candidate_for_baseline_modeling_prep.
20260414T004822Z	field_selection	review_decided_included_feature_count	2	Included fields admitted only through the fixed four-field review-decision block.
20260414T004822Z	field_selection	review_decided_excluded_feature_count	2	Excluded baseline clinical fields resolved only through the fixed four-field review-decision block.
20260414T004822Z	field_selection	included_feature_names_json	"[""age_at_diagnosis"", ""ajcc_metastasis_pathologic_pm"", ""ajcc_nodes_pathologic_pn"", ""ajcc_pathologic_tumor_stage"", ""ajcc_staging_edition"", ""ajcc_tumor_pathologic_pt"", ""anatomic_neoplasm_subdivision"", ""axillary_staging_method"", ""birth_days_to"", ""er_status_by_ihc"", ""ethnicity"", ""gender"", ""her2_status_by_ihc"", ""histological_type"", ""history_other_malignancy"", ""icd_o_3_histology"", ""initial_pathologic_dx_year"", ""lymph_nodes_examined_count"", ""lymph_nodes_examined_he_count"", ""margin_status"", ""menopause_status"", ""method_initial_path_dx"", ""pr_status_by_ihc"", ""race"", ""surgical_procedure_first""]"	Feature names included in baseline_feature_set_v1.tsv, in saved column order.
