cohort_v1_build_id	summary_section	summary_metric	summary_value	notes
20260413T202134Z	design	cohort_v1_status	provisional_minimal_cohort_v1	This build is the first real minimal cohort v1 and remains explicitly provisional.
20260413T202134Z	design	proposed_unit_of_analysis	patient/case	Minimal cohort v1 preserves patient/case as the row unit.
20260413T202134Z	design	provisional_patient_universe	clinical_patient	clinical_patient remains the provisional patient universe for cohort v1.
20260413T202134Z	design	biospecimen_policy	sample_anchor_only	biospecimen is represented only through grouped biospecimen_sample anchor evidence.
20260413T202134Z	design	endpoint_policy	candidate_columns_side_by_side_only	Patient and follow-up endpoint-like fields remain side-by-side provenance-bearing candidates only.
20260413T202134Z	design	treatment_policy	excluded_from_row_build	Treatment proxy/detail fields remain outside the patient-level v1 row build.
20260413T202134Z	inputs	dry_run_build_id	20260413T185911Z	Current minimal dry-run build used as the execution contract reference for v1.
20260413T202134Z	inputs	blueprint_run_id	20260413T081835Z	Current cohort blueprint run used as the v1 field and join source.
20260413T202134Z	inputs	ambiguity_resolution_run_id	20260413T085636Z	Current ambiguity-resolution run used as the v1 containment source.
20260413T202134Z	field_selection	included_baseline_field_count	27	Baseline fields selected from cohort_blueprint_required_fields where table_name=clinical_patient, excluding the duplicated patient identifiers.
20260413T202134Z	field_selection	included_patient_endpoint_candidate_field_count	4	Patient-table endpoint candidate fields carried as explicit prefixed columns.
20260413T202134Z	field_selection	included_followup_endpoint_candidate_field_count	5	Follow-up endpoint candidate fields carried as grouped JSON arrays.
20260413T202134Z	field_selection	included_biospecimen_sample_anchor_field_count	3	Grouped biospecimen sample-anchor evidence fields carried into the v1 cohort table.
20260413T202134Z	field_selection	included_baseline_fields_json	"[""age_at_diagnosis"", ""ajcc_metastasis_pathologic_pm"", ""ajcc_nodes_pathologic_pn"", ""ajcc_pathologic_tumor_stage"", ""ajcc_staging_edition"", ""ajcc_tumor_pathologic_pt"", ""anatomic_neoplasm_subdivision"", ""axillary_staging_method"", ""birth_days_to"", ""er_status_by_ihc"", ""ethnicity"", ""gender"", ""her2_status_by_ihc"", ""histological_type"", ""history_other_malignancy"", ""icd_10"", ""icd_o_3_histology"", ""icd_o_3_site"", ""initial_pathologic_dx_year"", ""lymph_nodes_examined_count"", ""lymph_nodes_examined_he_count"", ""margin_status"", ""menopause_status"", ""method_initial_path_dx"", ""pr_status_by_ihc"", ""race"", ""surgical_procedure_first""]"	Baseline clinical_patient fields included in minimal cohort v1.
20260413T202134Z	field_selection	included_patient_endpoint_candidate_fields_json	"[""clinical_patient__last_contact_days_to"", ""clinical_patient__new_tumor_event_dx_indicator"", ""clinical_patient__tumor_status"", ""clinical_patient__vital_status""]"	Patient-layer endpoint candidate columns included in minimal cohort v1.
20260413T202134Z	field_selection	included_followup_endpoint_candidate_fields_json	"[""clinical_follow_up_v4_0__followup_lost_to_json"", ""clinical_follow_up_v4_0__last_contact_days_to_json"", ""clinical_follow_up_v4_0__new_tumor_event_dx_indicator_json"", ""clinical_follow_up_v4_0__tumor_status_json"", ""clinical_follow_up_v4_0__vital_status_json""]"	Follow-up-layer endpoint candidate columns included in minimal cohort v1.
20260413T202134Z	field_selection	included_biospecimen_sample_anchor_fields_json	"[""biospecimen_sample__bcr_patient_uuid_json"", ""biospecimen_sample__bcr_sample_barcode_json"", ""biospecimen_sample__bcr_sample_uuid_json""]"	Biospecimen sample-anchor evidence columns included in minimal cohort v1.
20260413T202134Z	exclusions	excluded_sparse_timing_fields_json	"[""death_days_to"", ""days_to_patient_progression_free"", ""days_to_tumor_progression""]"	Sparse death and progression timing fields excluded from minimal cohort v1.
20260413T202134Z	exclusions	excluded_biospecimen_sample_helper_fields_json	"[""days_to_sample_procurement"", ""method_of_sample_procurement"", ""other_method_of_sample_procurement"", ""sample_type"", ""sample_type_id""]"	Optional biospecimen sample-helper fields excluded from minimal cohort v1.
20260413T202134Z	exclusions	excluded_child_or_side_biospecimen_tables_json	"[""biospecimen_aliquot"", ""biospecimen_analyte"", ""biospecimen_diagnostic_slides"", ""biospecimen_portion"", ""biospecimen_protocol"", ""biospecimen_sample"", ""biospecimen_shipment_portion"", ""biospecimen_slide""]"	Deferred non-sample biospecimen tables excluded from minimal cohort v1.
20260413T202134Z	row_counts	proposed_patient_universe_row_count	1097	clinical_patient source-row count used as the provisional patient universe.
20260413T202134Z	row_counts	final_v1_row_count	1097	Final minimal cohort v1 row count.
20260413T202134Z	join_results	matched_followup_candidate_count	619	Clinical patient rows with at least one grouped follow-up evidence row.
20260413T202134Z	join_results	matched_followup_row_count	716	Follow-up source rows grouped into matched patient-level evidence.
20260413T202134Z	join_results	matched_biospecimen_sample_anchor_count	1097	Clinical patient rows with at least one grouped biospecimen_sample evidence row.
20260413T202134Z	join_results	matched_biospecimen_sample_row_count	2293	biospecimen_sample source rows grouped into matched patient-level evidence.
20260413T202134Z	identifier_signals	rows_with_both_patient_barcode_and_uuid	1097	Clinical patient rows where both patient identifier forms are present.
20260413T202134Z	identifier_signals	rows_with_only_one_patient_identifier	0	Clinical patient rows with only one patient identifier form present.
20260413T202134Z	ambiguity	carried_global_ambiguity_note_count	6	Global ambiguity-note flags written into every minimal cohort v1 row.
20260413T202134Z	ambiguity	upstream_blueprint_ambiguity_count	11	Current blueprint ambiguity count retained as context for minimal cohort v1.
20260413T202134Z	ambiguity	upstream_ambiguity_readiness_signal	not_ready_pending_manual_review	The upstream ambiguity-resolution layer still reports manual-review dependence for a final freeze.
20260413T202134Z	ambiguity	carried_ambiguity_note_flags_json	"[""parallel_patient_identifiers_retained"", ""case_count_mismatch_carried_forward_1097_1098_1101"", ""endpoint_overlap_fields_kept_side_by_side"", ""sparse_timing_fields_excluded_from_minimal_build"", ""treatment_detail_rows_excluded_from_minimal_build"", ""biospecimen_child_layer_expansion_deferred""]"	Global ambiguity-note flags carried into every minimal cohort v1 row.
20260413T202134Z	mismatch_signals	clinical_patient_vs_source_vs_biospecimen_patient_counts	1097 / 1098 / 1101	Minimal cohort v1 preserves the current count mismatch as an explicit audit note rather than resolving it.
20260413T202134Z	mismatch_signals	extra_source_case_id_count	1	Case submitter IDs present in source metadata but not in clinical_patient.
20260413T202134Z	mismatch_signals	extra_biospecimen_patient_uuid_count	4	biospecimen_sample patient UUIDs absent from clinical_patient.
20260413T202134Z	mismatch_signals	extra_biospecimen_sample_row_count	9	biospecimen_sample rows absent from the clinical_patient provisional patient universe.
20260413T202134Z	readiness	downstream_baseline_analysis_preparation_readiness	ready_provisional_v1_only	This build is suitable for downstream baseline-analysis preparation only while remaining explicitly provisional.
20260413T202134Z	readiness	endpoint_freeze_status	blocked	Endpoint freeze remains blocked by unresolved overlap and sparse timing ambiguities.
20260413T202134Z	readiness	cohort_v1_readiness_interpretation	sufficient_for_provisional_baseline_preparation_not_final_freeze	The saved evidence is sufficient for a real provisional minimal cohort v1, but not for final cohort or endpoint freeze.
20260413T202134Z	mismatch_signals	extra_source_case_ids_json	"[""TCGA-BH-A0B2""]"	Source-only case submitter IDs carried forward as explicit audit notes.
20260413T202134Z	mismatch_signals	extra_biospecimen_patient_uuids_json	"[""826d8224-55fe-48c7-a5fe-ad81ac1ebba3"", ""e4321d99-ed3b-4fc8-b016-2ff47d93a064"", ""51d991f6-d998-420e-9357-48736c9ea0c1"", ""57a1604c-60b7-4b30-a75e-f70939532c5c""]"	biospecimen-only patient UUIDs carried forward as explicit audit notes.
