field_name	source_origin	field_category	retained_in_baseline_analysis_v1	rationale	ambiguity_carried_forward	notes_placeholder
cohort_v1_build_id	workflow_derived	audit_id_field	yes	Populate every patient row with the UTC build id for this minimal cohort v1 run.	[]	[fill in during baseline analysis v1 review]
provisional_patient_row_id	workflow_derived	audit_id_field	yes	Assign 1-based row ids in clinical_patient source-row order and keep them provisional.	[]	[fill in during baseline analysis v1 review]
bcr_patient_barcode	clinical_patient	audit_id_field	yes	Preserve the clinical_patient barcode as a parallel patient identifier; do not collapse it into UUID.	"[""parallel_patient_identifiers_retained""]"	[fill in during baseline analysis v1 review]
bcr_patient_uuid	clinical_patient	audit_id_field	yes	Preserve the clinical_patient UUID as a parallel patient identifier; do not collapse it into barcode.	"[""parallel_patient_identifiers_retained""]"	[fill in during baseline analysis v1 review]
ambiguity_note_flags_json	workflow_derived	audit_id_field	yes	Carry global ambiguity flags into every patient row as a JSON array of provisional notes.	"[""parallel_patient_identifiers_retained"", ""case_count_mismatch_carried_forward_1097_1098_1101"", ""endpoint_overlap_fields_kept_side_by_side"", ""sparse_timing_fields_excluded_from_minimal_build"", ""treatment_detail_rows_excluded_from_minimal_build"", ""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
join_status_flags_json	workflow_derived	audit_id_field	yes	Record join-state signals for follow-up and biospecimen sample attachment as a JSON array per row.	[]	[fill in during baseline analysis v1 review]
followup_match_row_count	clinical_follow_up_v4_0	audit_id_field	yes	Store the grouped count of exact (bcr_patient_uuid, bcr_patient_barcode) follow-up matches per patient row.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
biospecimen_sample_match_row_count	biospecimen_sample	audit_id_field	yes	Store the grouped count of UUID-matched biospecimen_sample rows per patient row.	"[""parallel_patient_identifiers_retained"", ""case_count_mismatch_carried_forward_1097_1098_1101"", ""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
age_at_diagnosis	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
ajcc_metastasis_pathologic_pm	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
ajcc_nodes_pathologic_pn	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
