crosswalk_run_id	parse_run_id	source_run_id	table_name	field_name	source_position	probable_identifier_level	identifier_token_family	missing_like_fraction	non_missing_count	distinct_non_missing_count	example_values_small_sample	candidate_source	manual_review_priority	notes_placeholder	matched_identifier_tokens_json	alternate_column_name	cde_id_raw
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	bcr_patient_uuid	1	patient	uuid	0.0	2302	1101	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	field_name_level_and_identifier_token_match	low	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"		
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	bcr_sample_barcode	2	sample	barcode	0.0	2302	2302	"[""TCGA-AR-A1AR-01A"", ""TCGA-AR-A1AR-10A"", ""TCGA-BH-A1EO-01A"", ""TCGA-BH-A1EO-11A"", ""TCGA-BH-A1ES-01A""]"	field_name_level_and_identifier_token_match	low	[fill in during biospecimen identifier crosswalk review]	"[""sample"", ""barcode""]"		
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	bcr_sample_uuid	3	sample	uuid	0.0	2302	2302	"[""5fa9998b-deff-493e-8a8e-dc2422192a48"", ""c1e5beaa-6103-409d-bdd4-a86c0f210014"", ""9d501ca9-f50d-45fc-bcc3-fee15f9771cd"", ""fff3e5a3-4b84-4afa-bdb5-1c6b2a6626bc"", ""aa1037f4-1414-4e05-b11a-c558a23b7e62""]"	field_name_level_and_identifier_token_match	low	[fill in during biospecimen identifier crosswalk review]	"[""sample"", ""uuid""]"		
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	days_to_sample_procurement	8	sample	level_only	1.0	0	0	[]	field_name_level_token_match_only	medium	[fill in during biospecimen identifier crosswalk review]	"[""sample""]"		CDE_ID:3288495
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	method_of_sample_procurement	14	sample	level_only	1.0	0	0	[]	field_name_level_token_match_only	medium	[fill in during biospecimen identifier crosswalk review]	"[""sample""]"		CDE_ID:3103514
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	other_method_of_sample_procurement	16	sample	level_only	1.0	0	0	[]	field_name_level_token_match_only	medium	[fill in during biospecimen identifier crosswalk review]	"[""sample""]"		CDE_ID:2006730
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	pathology_report_uuid	18	multi_level_or_unclear	uuid	0.513032	1121	1106	"[""747FB91B-F523-4FA0-91DD-6014EF55643D"", ""A2B755DD-00C4-4349-8E11-C1196EBC91D3"", ""9B2253AB-2C41-4E7A-9178-B690FFD9FF78"", ""7222C51A-3A1E-454B-A0E4-B8A0BBA042E4"", ""E66D3DF8-1605-4EFD-AAFA-74F82366FD16""]"	field_name_identifier_token_match_only	high	[fill in during biospecimen identifier crosswalk review]	"[""uuid""]"		
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	sample_type	20	sample	level_only	0.0	2302	4	"[""Primary Tumor"", ""Blood Derived Normal"", ""Solid Tissue Normal"", ""Metastatic""]"	field_name_level_token_match_only	medium	[fill in during biospecimen identifier crosswalk review]	"[""sample""]"		
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_sample	sample_type_id	21	sample	level_only	0.0	2302	4	"[""01"", ""10"", ""11"", ""06""]"	field_name_level_token_match_only	medium	[fill in during biospecimen identifier crosswalk review]	"[""sample""]"		
20260413T073640Z	20260413T070359Z	20260412T000556Z	biospecimen_portion	bcr_patient_uuid	1	patient	uuid	0.0	2310	1101	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	field_name_level_and_identifier_token_match	low	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"		
