field_name	source_origin	field_category	value_container_type	missing_like_fraction	distinct_non_missing_count	dominant_value_fraction	candidate_rule	excluded_reason	reason	needs_manual_review	notes_placeholder
ambiguity_note_flags_json	workflow_derived	audit_id_field	json_array_cell	0.000000	1	1.000000	audit_or_identifier_exclude	ambiguity_carried_forward	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
join_status_flags_json	workflow_derived	audit_id_field	json_array_cell	0.000000	3	0.481313	audit_or_identifier_exclude	ambiguity_carried_forward	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=3, dominant_value_fraction=0.481).	no	[fill in during baseline profile v1 review]
baseline_analysis_v1_row_id	workflow_derived	derived_prep_flag	scalar	0.000000	1097	0.000912	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	no	[fill in during baseline profile v1 review]
row_has_biospecimen_sample_match	workflow_derived	derived_prep_flag	scalar	0.000000	1	1.000000	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
row_has_both_patient_ids	workflow_derived	derived_prep_flag	scalar	0.000000	1	1.000000	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
row_has_followup_match	workflow_derived	derived_prep_flag	scalar	0.000000	2	0.564266	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=2, dominant_value_fraction=0.564).	no	[fill in during baseline profile v1 review]
row_missing_one_patient_id	workflow_derived	derived_prep_flag	scalar	0.000000	1	1.000000	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
bcr_patient_barcode	clinical_patient	audit_id_field	scalar	0.000000	1097	0.000912	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	no	[fill in during baseline profile v1 review]
bcr_patient_uuid	clinical_patient	audit_id_field	scalar	0.000000	1097	0.000912	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	no	[fill in during baseline profile v1 review]
biospecimen_sample_match_row_count	biospecimen_sample	audit_id_field	scalar	0.000000	3	0.913400	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=3, dominant_value_fraction=0.913).	no	[fill in during baseline profile v1 review]
cohort_v1_build_id	workflow_derived	audit_id_field	scalar	0.000000	1	1.000000	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
followup_match_row_count	clinical_follow_up_v4_0	audit_id_field	scalar	0.000000	4	0.481313	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=4, dominant_value_fraction=0.481).	no	[fill in during baseline profile v1 review]
provisional_patient_row_id	workflow_derived	audit_id_field	scalar	0.000000	1097	0.000912	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	no	[fill in during baseline profile v1 review]
