field_name	source_origin	field_category	candidate_bucket	feature_set_v1_decision	decision_rule	reason	notes_placeholder
cohort_v1_build_id	workflow_derived	audit_id_field	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	[fill in during baseline feature-set v1 review]
baseline_analysis_v1_row_id	workflow_derived	derived_prep_flag	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	[fill in during baseline feature-set v1 review]
provisional_patient_row_id	workflow_derived	audit_id_field	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	[fill in during baseline feature-set v1 review]
bcr_patient_barcode	clinical_patient	audit_id_field	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	[fill in during baseline feature-set v1 review]
bcr_patient_uuid	clinical_patient	audit_id_field	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	[fill in during baseline feature-set v1 review]
ambiguity_note_flags_json	workflow_derived	audit_id_field	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	[fill in during baseline feature-set v1 review]
join_status_flags_json	workflow_derived	audit_id_field	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=3, dominant_value_fraction=0.481).	[fill in during baseline feature-set v1 review]
followup_match_row_count	clinical_follow_up_v4_0	audit_id_field	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=4, dominant_value_fraction=0.481).	[fill in during baseline feature-set v1 review]
biospecimen_sample_match_row_count	biospecimen_sample	audit_id_field	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=3, dominant_value_fraction=0.913).	[fill in during baseline feature-set v1 review]
row_has_followup_match	workflow_derived	derived_prep_flag	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=2, dominant_value_fraction=0.564).	[fill in during baseline feature-set v1 review]
row_has_biospecimen_sample_match	workflow_derived	derived_prep_flag	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	[fill in during baseline feature-set v1 review]
row_has_both_patient_ids	workflow_derived	derived_prep_flag	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	[fill in during baseline feature-set v1 review]
row_missing_one_patient_id	workflow_derived	derived_prep_flag	exclude_for_now	exclude_from_feature_set_v1	excluded_non_feature_category	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	[fill in during baseline feature-set v1 review]
age_at_diagnosis	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=65, dominant_value_fraction=0.046).	[fill in during baseline feature-set v1 review]
ajcc_metastasis_pathologic_pm	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=4, dominant_value_fraction=0.826).	[fill in during baseline feature-set v1 review]
ajcc_nodes_pathologic_pn	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=16, dominant_value_fraction=0.304).	[fill in during baseline feature-set v1 review]
ajcc_pathologic_tumor_stage	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.010, distinct_non_missing_count=12, dominant_value_fraction=0.330).	[fill in during baseline feature-set v1 review]
ajcc_staging_edition	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.129, distinct_non_missing_count=5, dominant_value_fraction=0.465).	[fill in during baseline feature-set v1 review]
ajcc_tumor_pathologic_pt	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=13, dominant_value_fraction=0.577).	[fill in during baseline feature-set v1 review]
anatomic_neoplasm_subdivision	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=53, dominant_value_fraction=0.174).	[fill in during baseline feature-set v1 review]
axillary_staging_method	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.197, distinct_non_missing_count=5, dominant_value_fraction=0.363).	[fill in during baseline feature-set v1 review]
birth_days_to	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.014, distinct_non_missing_count=1045, dominant_value_fraction=0.005).	[fill in during baseline feature-set v1 review]
er_status_by_ihc	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.045, distinct_non_missing_count=3, dominant_value_fraction=0.771).	[fill in during baseline feature-set v1 review]
