patient_treatment_grouping_v1_run_id	field_name	source_origin	field_category	decision_rule	notes
20260414T210420Z	patient_treatment_grouping_v1_run_id	workflow_generated	provenance	UTC run identifier assigned once per grouping workflow execution.	Written to every patient-level grouping row for audit linkage.
20260414T210420Z	patient_treatment_profile_v1_run_id	patient_treatment_profile_v1_latest_pointer	provenance	Carried forward from the saved patient_treatment_profile_v1 pointer.	Links the grouping layer directly to the upstream patient-level treatment profile.
20260414T210420Z	treatment_os_overlap_v1_run_id	patient_treatment_profile_v1.tsv	provenance	Carried forward unchanged from the saved patient treatment profile row.	Preserves linkage to the earlier treatment-OS overlap audit.
20260414T210420Z	os_endpoint_v1_run_id	patient_treatment_profile_v1.tsv|os_endpoint_v1_latest_pointer	provenance	Must reconcile across the saved patient treatment profile pointer and OS endpoint pointer.	Identifies the saved OS cohort used as the unit-of-analysis backbone.
20260414T210420Z	baseline_model_input_v1_run_id	patient_treatment_profile_v1.tsv|baseline_model_input_v1_latest_pointer	provenance	Carried forward from the upstream saved profile and validated against the latest baseline model-input pointer.	Used for lineage confirmation only, not as a grouping input matrix.
20260414T210420Z	cohort_v1_build_id	shared upstream pointers	provenance	Must reconcile across the saved profile, OS endpoint, and baseline model-input pointers.	Represents the shared OS cohort build carried through grouping v1.
20260414T210420Z	bcr_patient_barcode	os_endpoint_v1.tsv	identifier	Copied from the saved OS endpoint row and used as the patient join key.	Exactly one output row is written per OS cohort patient barcode.
20260414T210420Z	bcr_patient_uuid	os_endpoint_v1.tsv	identifier	Copied from the saved OS endpoint row after UUID reconciliation against the upstream treatment profile row.	Preserves patient UUID-level audit linkage.
20260414T210420Z	provisional_patient_row_id	os_endpoint_v1.tsv	identifier	Copied from the saved OS endpoint row in upstream row order.	Preserves linkage to prior patient-level audit layers.
20260414T210420Z	baseline_analysis_v1_row_id	os_endpoint_v1.tsv	identifier	Copied unchanged from the saved OS endpoint row.	Supports downstream joins back to prior baseline analysis outputs.
20260414T210420Z	feature_set_v1_row_index	os_endpoint_v1.tsv	identifier	Copied unchanged from the saved OS endpoint row.	Supports linkage to earlier feature-set and model-input outputs.
20260414T210420Z	os_event	os_endpoint_v1.tsv	audit_outcome	Copied from the saved OS endpoint row for audit convenience only.	Included for descriptive audit joins and not to define an analysis-ready treatment dataset.
20260414T210420Z	os_time_days	os_endpoint_v1.tsv	audit_outcome	Copied from the saved OS endpoint row for audit convenience only.	Included for descriptive audit joins and not to define an analysis-ready treatment dataset.
20260414T210420Z	treatment_group_v1	derived_from_patient_treatment_profile_v1	grouping	Allowed values are restricted exactly to the approved v1 provisional grouping categories.	Mixed cases remain mixed and are not collapsed into dominant-type single arms.
20260414T210420Z	treatment_group_v1_rule	workflow_generated	grouping	Stores the exact rule path used to assign treatment_group_v1 from the saved treatment profile fields.	Makes the provisional grouping logic explicit for audit review.
20260414T210420Z	treatment_group_v1_requires_manual_review	patient_treatment_profile_v1.tsv.treatment_profile_requires_manual_review	review	Mirrors the upstream narrow-core manual-review flag exactly without expanding review scope in grouping v1.	Preserves the current 357-patient manual-review burden.
20260414T210420Z	has_any_drug_row	patient_treatment_profile_v1.tsv	coverage	Carried forward unchanged from the saved patient treatment profile row.	no_drug_record remains explicit and is not interpreted as untreated.
20260414T210420Z	has_any_radiation_row	patient_treatment_profile_v1.tsv	coverage	Carried forward unchanged from the saved patient treatment profile row.	Radiation overlap stays visible as audit context rather than a separate final arm.
20260414T210420Z	drug_row_count	patient_treatment_profile_v1.tsv	coverage	Carried forward unchanged from the saved patient treatment profile row.	Counts underlying drug-row evidence without re-reading raw tables.
20260414T210420Z	radiation_row_count	patient_treatment_profile_v1.tsv	coverage	Carried forward unchanged from the saved patient treatment profile row.	Counts underlying radiation-row evidence without re-reading raw tables.
20260414T210420Z	drug_therapy_type_values_json	patient_treatment_profile_v1.tsv	therapy_type	Carried forward as the saved raw therapy-type evidence array from the patient treatment profile.	Raw therapy-type labels remain visible, unsplit, and unnormalized in grouping v1.
