ambiguity_resolution_run_id	blueprint_run_id	ambiguity_id	ambiguity_category	source_layer	table_name	field_name_or_step	severity	why_unresolved	current_saved_evidence	proposed_blueprint_handling	blocks_final_cohort_construction	evidence_still_missing	blocker_class	resolution_priority	evidence_sufficiency	recommended_next_action	recommended_action_type	linked_action_id	notes_placeholder
20260413T085636Z	20260413T081835Z	A01	endpoint_overlap_patient_vs_followup	endpoint	clinical_patient | clinical_follow_up_v4_0	vital_status	high	The same endpoint-like field exists in both patient and follow-up tables and should not be treated as automatically equivalent.	clinical_patient.vital_status has 1097 non-missing rows; clinical_follow_up_v4_0.vital_status has 706. Endpoint crosswalk roles: clinical_patient.vital_status=primary_candidate with 1097 non-missing rows; clinical_follow_up_v4_0.vital_status=overlapping_candidate with 706 non-missing rows.	Carry both rows as endpoint join-preparation fields and require later reconciliation before endpoint freeze.	True	A saved source-table precedence or row-level reconciliation rule between patient and follow-up vital_status is still missing.	review_before_build	medium	enough_for_provisional_rule	Define provisional endpoint source-table coexistence rule	provisional_rule	AR03	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A02	endpoint_overlap_patient_vs_followup	endpoint	clinical_patient | clinical_follow_up_v4_0	last_contact_days_to	high	Patient and follow-up tables both carry last-contact timing, but their later use still needs explicit reconciliation.	clinical_patient.last_contact_days_to has 993 non-missing rows; clinical_follow_up_v4_0.last_contact_days_to has 654. Endpoint crosswalk roles: clinical_follow_up_v4_0.last_contact_days_to=primary_candidate with 654 non-missing rows; clinical_patient.last_contact_days_to=overlapping_candidate with 993 non-missing rows.	Keep both rows optional and endpoint-preparatory only; do not choose one as the final censoring source here.	True	A saved source-table precedence or row-level reconciliation rule between patient and follow-up last_contact_days_to is still missing.	review_before_build	medium	enough_for_provisional_rule	Define provisional endpoint source-table coexistence rule	provisional_rule	AR03	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A03	endpoint_overlap_patient_vs_followup	endpoint	clinical_patient | clinical_follow_up_v4_0	tumor_status	high	Tumor-status signals overlap across patient and follow-up tables and may reflect related but not guaranteed identical source semantics.	clinical_patient.tumor_status has 972 non-missing rows; clinical_follow_up_v4_0.tumor_status has 677. Endpoint crosswalk roles: clinical_follow_up_v4_0.tumor_status=primary_candidate with 677 non-missing rows; clinical_patient.tumor_status=overlapping_candidate with 972 non-missing rows.	Preserve both rows for later endpoint review and keep them out of any frozen progression definition.	True	A saved source-table precedence or row-level reconciliation rule between patient and follow-up tumor_status is still missing.	review_before_build	medium	enough_for_provisional_rule	Define provisional endpoint source-table coexistence rule	provisional_rule	AR03	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A04	endpoint_overlap_patient_vs_followup	endpoint	clinical_patient | clinical_follow_up_v4_0	new_tumor_event_dx_indicator	high	New-tumor-event indicators overlap across patient and follow-up, but their relative timing and preferred later use remain unsettled.	clinical_patient.new_tumor_event_dx_indicator has 195 non-missing rows; clinical_follow_up_v4_0.new_tumor_event_dx_indicator has 647. Endpoint crosswalk roles: clinical_follow_up_v4_0.new_tumor_event_dx_indicator=primary_candidate with 647 non-missing rows; clinical_patient.new_tumor_event_dx_indicator=overlapping_candidate with 195 non-missing rows.	Keep both rows as later endpoint-reconciliation targets rather than automatic event indicators.	True	A saved source-table precedence or row-level reconciliation rule between patient and follow-up new_tumor_event_dx_indicator is still missing.	review_before_build	medium	enough_for_provisional_rule	Define provisional endpoint source-table coexistence rule	provisional_rule	AR03	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A05	sparse_endpoint_timing	endpoint	clinical_patient | clinical_follow_up_v4_0	death_days_to	high	Death timing exists in both tables but remains too sparse to promote directly into a finalized endpoint workflow here.	clinical_patient.death_days_to has 104 non-missing rows; clinical_follow_up_v4_0.death_days_to has 52. Endpoint crosswalk roles: clinical_patient.death_days_to=ambiguous_candidate with 104 non-missing rows; clinical_follow_up_v4_0.death_days_to=ambiguous_candidate with 52 non-missing rows.	Record death timing as deferred endpoint evidence only and revisit it during endpoint freeze.	True	No sufficiently complete saved death timing source is available yet for endpoint freeze from disk-only audit outputs.	review_before_build	medium	enough_for_provisional_rule	Exclude sparse death/progression timing fields from minimal build	defer_from_minimal_build	AR04	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A06	all_missing_progression_timing	endpoint	clinical_patient	days_to_patient_progression_free | days_to_tumor_progression	high	Progression timing fields were surfaced only as ambiguous candidates and remain unusable from the saved audit outputs.	Both progression timing fields have 0 non-missing rows in the saved endpoint crosswalk. Endpoint crosswalk marks both progression timing candidates as ambiguous_candidate / ambiguous_candidate with 0 and 0 non-missing rows.	Keep both fields deferred and exclude them from any automatic first-baseline endpoint preparation.	True	No non-missing saved progression timing fields are available yet for endpoint freeze from disk-only audit outputs.	review_before_build	medium	enough_for_provisional_rule	Exclude sparse death/progression timing fields from minimal build	defer_from_minimal_build	AR04	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A07	clinical_vs_biospecimen_patient_identifiers	clinical | biospecimen	clinical_patient | biospecimen_sample | biospecimen_diagnostic_slides	bcr_patient_barcode | bcr_patient_uuid	high	Clinical and biospecimen layers expose both patient barcodes and UUIDs, but the blueprint should not assume a single harmonized patient identifier without later reconciliation.	clinical_patient has 1097 non-missing values for both patient identifiers; biospecimen_sample.bcr_patient_uuid shows 1101 distinct patients; biospecimen_diagnostic_slides.bcr_patient_barcode is present in 1142 rows. Clinical shortlist keeps clinical_patient.bcr_patient_barcode and clinical_patient.bcr_patient_uuid with 1097 and 1097 non-missing rows. Biospecimen crosswalk marks biospecimen_sample.bcr_patient_uuid as primary_link_candidate with 1101 distinct patients, and biospecimen_diagnostic_slides.bcr_patient_barcode / bcr_patient_uuid remain exact paired side evidence at pattern pass fractions 1.0 and 1.0.	Use both identifier forms as evidence-bearing join keys now and leave final harmonization rules for later cohort construction.	True	A saved cross-layer canonical patient identifier rule is still missing, so barcode and UUID evidence must stay parallel rather than collapsed.	blocking_now	high	enough_for_provisional_rule	Define provisional patient/case join rule	provisional_rule	AR01	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A08	case_count_mismatch	clinical | source | biospecimen	clinical_patient | source_metadata | biospecimen_sample	case coverage counts	high	The saved clinical, source-acquisition, and biospecimen layers do not expose the exact same patient-count signal, so final cohort construction still needs explicit reconciliation logic.	clinical_patient row count is 1097; clinical source unique case coverage is 1098; biospecimen_sample patient UUID distinct count is 1101. Blueprint summary count signals: clinical_patient_case_count=1097, clinical_source_case_submitter_coverage=1098, biospecimen_patient_uuid_distinct_count=1101, biospecimen_sample_anchor_count=2302.	Flag cross-layer case counts as a blocking reconciliation task before any final cohort table is frozen.	True	A saved row-level explanation for the 1097 clinical / 1098 source / 1101 biospecimen patient-count gap is still missing.	blocking_now	high	partial_needs_manual_review	Document case-count discrepancy and containment rule	manual_review	AR02	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A09	treatment_table_multiplicity	clinical	clinical_drug | clinical_radiation	patient-linked treatment rows	medium	Treatment tables are one-to-many and include optional proxy signals, so later aggregation rules still need explicit design choices.	clinical_drug has 2406 rows over 780 distinct patients; clinical_radiation has 618 rows over 528 distinct patients. Clinical shortlist currently carries 15 usable_treatment_proxy fields for treatment-proxy review only.	Keep treatment fields optional and proxy-only until later cohort construction defines aggregation or prioritization rules.	False	A saved patient-level aggregation or prioritization rule for one-to-many treatment rows is still missing.	review_before_build	medium	enough_for_provisional_rule	Exclude one-to-many treatment-detail fields from minimal build	defer_from_minimal_build	AR05	[fill in during blueprint ambiguity-resolution review]
20260413T085636Z	20260413T081835Z	A10	missing_direct_child_link	biospecimen	biospecimen_analyte | biospecimen_slide	analyte -> slide	medium	The saved biospecimen crosswalk does not expose a direct analyte identifier in the slide table.	biospecimen_slide retains sample barcode and slide ids, while analyte ids appear only in biospecimen_analyte and protocol side links. Biospecimen crosswalk keeps analyte identifiers on biospecimen_analyte (6315 distinct analyte barcodes), while biospecimen_slide carries slide ids and overlapping sample barcode evidence (1991 slide barcodes; 1283 overlapping sample barcodes).	Keep analyte-to-slide deferred and use sample-level or side-table evidence only during later expansion review.	False	No saved direct analyte identifier appears in the slide layer, so any deeper child-layer validation would need later source expansion.	non_blocking_for_minimal_build	low	insufficient_needs_new_evidence	Defer analyte child-layer expansion pending later validation	later_xml_validation	AR06	[fill in during blueprint ambiguity-resolution review]
