patient_treatment_profile_v1_run_id	field_name	source_origin	field_category	decision_rule	notes
20260414T200843Z	patient_treatment_profile_v1_run_id	workflow_generated	provenance	UTC run identifier assigned once per workflow execution.	Written to every output row for audit linkage.
20260414T200843Z	treatment_os_overlap_v1_run_id	treatment_os_overlap_v1_latest_pointer	provenance	Carried forward from the saved treatment-OS overlap v1 pointer.	Preserves direct linkage to the upstream overlap audit.
20260414T200843Z	os_endpoint_v1_run_id	os_endpoint_v1_latest_pointer	provenance	Carried forward from the saved OS endpoint v1 pointer.	Links the treatment profile back to the frozen OS cohort source.
20260414T200843Z	clinical_biotab_parse_run_id	clinical_biotabs_latest_pointer	provenance	Carried forward from the saved clinical biotab parse pointer.	Identifies the parsed treatment-table run used here.
20260414T200843Z	baseline_model_input_v1_run_id	treatment_os_overlap_v1_latest_pointer	provenance	Carried forward from the upstream overlap pointer without reloading the model-input layer.	Included for cross-run provenance only.
20260414T200843Z	cohort_v1_build_id	shared upstream pointers	provenance	Must reconcile across the saved overlap and OS endpoint pointers.	Represents the OS cohort build carried into this patient-level profile.
20260414T200843Z	bcr_patient_barcode	os_endpoint_v1.tsv	identifier	Copied from the saved OS endpoint row and used as the patient join key.	One output row per OS cohort barcode.
20260414T200843Z	bcr_patient_uuid	os_endpoint_v1.tsv	identifier	Copied from the saved OS endpoint row after cross-checking against overlap and clinical_patient linkage.	Preserves UUID-level audit linkage.
20260414T200843Z	provisional_patient_row_id	os_endpoint_v1.tsv	identifier	Copied from the saved OS endpoint row in existing cohort order.	Used to preserve prior row-level audit linkage.
20260414T200843Z	baseline_analysis_v1_row_id	os_endpoint_v1.tsv	identifier	Copied from the saved OS endpoint row without modification.	Supports linkage to prior baseline analysis outputs.
20260414T200843Z	feature_set_v1_row_index	os_endpoint_v1.tsv	identifier	Copied from the saved OS endpoint row without modification.	Supports linkage to prior feature-set and model-input outputs.
20260414T200843Z	has_any_drug_row	clinical_drug.tsv	coverage	yes when at least one clinical_drug row matches the patient barcode; otherwise no.	No-drug-record remains explicit and is not relabeled as untreated.
20260414T200843Z	drug_row_count	clinical_drug.tsv	coverage	Count all clinical_drug rows matching the patient barcode.	Raw one-to-many treatment rows remain untouched upstream.
20260414T200843Z	has_any_radiation_row	clinical_radiation.tsv	coverage	yes when at least one clinical_radiation row matches the patient barcode; otherwise no.	Radiation is summarized alongside drug exposure but not merged into a final arm.
20260414T200843Z	radiation_row_count	clinical_radiation.tsv	coverage	Count all clinical_radiation rows matching the patient barcode.	Preserves patient-level radiation complexity without collapsing it into a treatment arm.
20260414T200843Z	drug_therapy_type_values_json	clinical_drug.tsv.pharmaceutical_therapy_type	therapy_type	Store raw row-order therapy-type values, including duplicates and missing-like source values, as a JSON array.	Raw labels stay visible; no normalization or splitting is applied.
20260414T200843Z	drug_therapy_type_distinct_count	clinical_drug.tsv.pharmaceutical_therapy_type	therapy_type	Count distinct non-missing therapy-type labels after value.strip().	Missing-like values do not contribute to the distinct count.
20260414T200843Z	drug_therapy_type_single_or_mixed	derived_from_clinical_drug.tsv.pharmaceutical_therapy_type	therapy_type	Allowed values: no_drug_record, single_type, mixed_type, missing_type_only.	Mixed and missing-type-only cases stay explicit instead of being forced into a final arm.
20260414T200843Z	dominant_therapy_type_if_any	derived_from_clinical_drug.tsv.pharmaceutical_therapy_type	therapy_type	Use the most frequent non-missing exact raw therapy type when uniquely identifiable; otherwise leave blank.	This is a provisional summary field only and is not a frozen treatment arm.
20260414T200843Z	dominant_therapy_type_rule	workflow_generated	therapy_type	Allowed values: no_drug_record, single_non_missing_type, most_frequent_non_missing_type, blank_due_to_tie, blank_due_to_no_usable_type.	Documents why dominant_therapy_type_if_any is populated or blank.
20260414T200843Z	therapy_type_counts_json	clinical_drug.tsv.pharmaceutical_therapy_type	therapy_type	Store ordered count objects {value, count} for non-missing stripped therapy-type labels.	Order follows first appearance in the raw drug rows.
20260414T200843Z	has_any_regimen_context	combined drug and radiation regimen fields	regimen_context	yes when at least one non-missing regimen-context value is present across drug therapy_regimen, drug pharm_regimen, or radiation therapy_regimen.	Uses the combined-minimal regimen-context scope chosen for v1.
20260414T200843Z	regimen_context_values_json	clinical_drug.tsv.therapy_regimen|pharm_regimen and clinical_radiation.tsv.therapy_regimen	regimen_context	Store distinct non-missing raw regimen-context values in first-seen order as a JSON array.	No prioritization is applied beyond preserving first-seen order.
20260414T200843Z	regimen_context_distinct_count	combined regimen context fields	regimen_context	Count distinct non-missing regimen-context values after value.strip().	The currently empty drug pharm_regimen field remains included for forward compatibility.
20260414T200843Z	regimen_context_single_or_mixed	derived_from_combined_regimen_context	regimen_context	Allowed values: no_regimen_context, single_context, mixed_context.	Context is summarized but not used to freeze a final treatment arm.
20260414T200843Z	drug_name_values_json	clinical_drug.tsv.pharmaceutical_therapy_drug_name	drug_name	Store raw row-order drug-name values, including duplicates and missing-like source values, as a JSON array.	Drug names remain completely unnormalized in v1.
20260414T200843Z	distinct_drug_name_count	clinical_drug.tsv.pharmaceutical_therapy_drug_name	drug_name	Count distinct non-missing exact raw drug-name labels after value.strip().	Used only as a structural complexity summary, not as an arm-definition rule.
20260414T200843Z	earliest_drug_start_days	clinical_drug.tsv.pharmaceutical_tx_started_days_to	timing	Minimum parseable integer among the patient's drug start-day values.	Left blank if no parseable drug start-day value exists.
