field_name	source_origin	field_category	value_container_type	non_missing_count	missing_like_fraction	distinct_non_missing_count	dominant_value_fraction	shortlist_bucket	shortlist_rule	shortlist_manual_review_priority	candidate_bucket	candidate_rule	excluded_reason	reason	needs_manual_review	notes_placeholder
age_at_diagnosis	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	65	0.046490	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=65, dominant_value_fraction=0.046).	no	[fill in during baseline profile v1 review]
ajcc_metastasis_pathologic_pm	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	4	0.825889	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=4, dominant_value_fraction=0.826).	no	[fill in during baseline profile v1 review]
ajcc_nodes_pathologic_pn	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	16	0.303555	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=16, dominant_value_fraction=0.304).	no	[fill in during baseline profile v1 review]
ajcc_pathologic_tumor_stage	clinical_patient	baseline_clinical_field	scalar	1086	0.010027	12	0.329650	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.010, distinct_non_missing_count=12, dominant_value_fraction=0.330).	no	[fill in during baseline profile v1 review]
ajcc_staging_edition	clinical_patient	baseline_clinical_field	scalar	956	0.128532	5	0.465481	usable_baseline	baseline_candidate_structured_core_field	medium	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.129, distinct_non_missing_count=5, dominant_value_fraction=0.465).	no	[fill in during baseline profile v1 review]
ajcc_tumor_pathologic_pt	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	13	0.577028	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=13, dominant_value_fraction=0.577).	no	[fill in during baseline profile v1 review]
anatomic_neoplasm_subdivision	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	53	0.174111	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=53, dominant_value_fraction=0.174).	no	[fill in during baseline profile v1 review]
axillary_staging_method	clinical_patient	baseline_clinical_field	scalar	881	0.196901	5	0.363224	usable_baseline	baseline_candidate_structured_core_field	medium	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.197, distinct_non_missing_count=5, dominant_value_fraction=0.363).	no	[fill in during baseline profile v1 review]
birth_days_to	clinical_patient	baseline_clinical_field	scalar	1082	0.013674	1045	0.004621	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.014, distinct_non_missing_count=1045, dominant_value_fraction=0.005).	no	[fill in during baseline profile v1 review]
er_status_by_ihc	clinical_patient	baseline_clinical_field	scalar	1048	0.044667	3	0.770992	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.045, distinct_non_missing_count=3, dominant_value_fraction=0.771).	no	[fill in during baseline profile v1 review]
